cast,Number_MoviesShows,score
 Alison Fernandez,3,32.333333333333336
 Alison Lohman,1,61.0
 Alison Pill,4,61.75
 Alison Thornton,1,73.0
 Alison Whyte,1,64.0
 Alissa Anderegg,1,82.0
 Alistair Duncan,1,52.0
 Alistair Petrie,2,80.5
 Aliton Graça,1,42.0
 Alix Bates,1,18.0
 Alix Poisson,2,55.0
 Alix Wilton Regan,1,80.0
 Aliyah Taylor,1,49.0
 Aliza Vellani,2,67.0
 Alián Devetac,1,45.0
 Alka Amin,2,46.5
 Alka Badola Kaushal,2,33.0
 Alka Chawla,1,65.0
 Alki David,1,70.0
 Alkoya Brunson,2,29.0
 Allan Hyde,1,52.0
 Allan Kournikova,1,52.0
 Allan Lima,1,46.0
 Allan Paule,1,30.0
 Allauddin Khan,1,52.0
 Allegra Edwards,1,79.0
 Allen Collins,1,57.0
 Allen Covert,3,52.0
 Allen Garfield,2,51.5
 Allen Ginsberg,1,75.0
 Allen Maldonado,3,54.666666666666664
 Allene Quincy,1,58.0
 Alli Willow,1,42.0
 Allie MacDonald,1,43.0
 Allison Janney,4,72.75
 Allison Mack,1,43.0
 Allison McAtee,1,52.0
 Allison Miller,1,61.0
 Allu Arjun,1,26.0
 Ally Ioannides,1,68.0
 Ally Maki,1,16.0
 Ally Sheedy,1,72.0
 Ally Walker,1,29.0
 Allyn Joslyn,1,16.0
 Alma Arnal,1,66.0
 Alma Jodorowsky,1,76.0
 Alma Martinez,1,49.0
 Alma Martínez,1,37.0
 Alok Nath,4,65.5
 Alon Aboutboul,1,81.0
 Alona Tal,1,60.0
 Alondra Hidalgo,1,31.0
 Alonzo Muhlach,1,9.0
 Alosian Vivancos,1,21.0
 Alpa Banker,1,36.0
 Alpha Oumar Barry,1,28.0
 Alphonso McAuley,1,45.0
 Alphonso Mcauley,2,51.0
 Althea Miranda,1,29.0
 Alun Armstrong,3,35.0
 Alva Rogers,1,74.0
 Alvin Anson,1,43.0
 Alvin Sanders,1,49.0
 Alvin Wong,1,13.0
 Alwyn Uytingco,1,28.0
 Aly Ibrahim,1,18.0
 Aly Michalka,3,58.666666666666664
 Alycia Delmore,1,64.0
 Alysha Deslorieux,1,29.0
 Alyson Hannigan,1,66.0
 Alyson Leigh Rosenfeld,2,45.0
 Alyson Michalka,1,57.0
 Alyson Reed,2,58.5
 Alyson Standen,1,52.0
 Alyson Stoner,3,52.0
 Alyssa Milano,1,35.0
 Alyssa Sutherland,1,56.0
 Alyssya Swales,1,50.0
 Alyvia Alyn Lind,1,66.0
 Alyy Khan,1,66.0
 Ama K. Abebrese,2,66.0
 Amadeus,1,27.0
