cast,Number_MoviesShows,score
 Amy Jackson,1,25.0
 Amy Landecker,3,67.33333333333333
 Amy Manson,1,65.0
 Amy Matysio,1,23.0
 Amy Parrish,1,30.0
 Amy Poehler,2,47.0
 Amy Price-Francis,1,24.0
 Amy Robinson,1,82.0
 Amy Ryan,2,68.5
 Amy Sedaris,3,56.0
 Amy Sloan,1,40.0
 Amy Smart,2,39.5
 Amy Stewart,1,8.0
 Amy Sturdivant,1,38.0
 Amy Wright,1,42.0
 Amyra Dastur,5,26.0
 Ana Begic,1,29.0
 Ana Belen,1,20.0
 Ana Bertha Espín,1,45.0
 Ana Brenda Contreras,1,37.0
 Ana Capri,1,18.0
 Ana Claudia Talancon,1,17.0
 Ana Claudia Talancón,1,48.0
 Ana De Armas,1,63.0
 Ana Gasteyer,2,63.5
 Ana Gil de Melo Nascimento,1,56.0
 Ana Girardot,1,66.0
 Ana Golja,1,33.0
 Ana González Bello,1,45.0
 Ana Katz,1,44.0
 Ana Lizarraga,1,76.0
 Ana Martín,1,45.0
 Ana María Henríquez,1,12.0
 Ana Mulvoy Ten,1,63.0
 Ana Mulvoy-Ten,1,59.0
 Ana Ortiz,1,6.0
 Ana Rujas,1,68.0
 Ana Santos,2,63.5
 Ana Sophia Heger,1,48.0
 Ana Torrent,1,64.0
 Ana Ularu,2,49.0
 Ana Wagener,3,67.33333333333333
 Ana Wills,1,27.0
 Ana de Armas,3,50.0
 Ana-María Sánchez,1,27.0
 Anabela Teixeira,1,25.0
 Anaika Soti,1,29.0
 Anajosé Aldrete,1,28.0
 Analeigh Tipton,2,58.5
 Anamaria Marinca,1,66.0
 Anand Balraj,1,55.0
 Anand Goradia,1,44.0
 Anand Ingle,1,4.0
 Anand Kumar,1,10.0
 Anand Sami,1,21.0
 Anandaraj,1,36.0
 Anandhi,1,38.0
 Anang Desai,3,34.666666666666664
 Anant Kumar,1,8.0
 Anant Nag,2,50.5
 Ananth Narayan Mahadevan,1,13.0
 Ananya Nagalla,1,25.0
 Ananya Panday,1,22.0
 Ananya Ramaprasad,1,18.0
 Anarkali Marikar,1,53.0
 Anastasia Hille,2,38.5
 Anastasia Phillips,1,29.0
 Anatole Taubman,1,69.0
 Anatoliy Papanov,2,74.0
 Anaïs Thomas,1,43.0
 Anbu,1,13.0
 Anca Radici,1,69.0
 Anchuleeon Buagaew,1,35.0
 Anders Baasmo Christiansen,1,72.0
 Anders Holm,1,44.0
 Anders Hove,1,65.0
 Anderson Ballesteros,1,20.0
 Anderson Silva,1,47.0
 Andi Matichak,1,56.0
 Andie MacDowell,1,48.0
 Andie McDowell,1,59.0
 Andile Gumbi,1,11.0
 Andoni Agirregomezkorta,1,30.0
 Andoni Gracia,1,35.0
 Andra Fuller,2,28.5
 Andre Garcia,1,23.0
 Andre Gregory,1,20.0
 Andre Peirre,1,47.0
 Andre Robinson,2,23.5
 Andre Royo,1,48.0
 Andre Stojka,3,56.333333333333336
 Andrea Avery,1,46.0
 Andrea Bowen,1,59.0
 Andrea Brooks,1,53.0
 Andrea De Oliveira,1,57.0
 Andrea Duro,1,59.0
 Andrea Engelsmann Persson,1,72.0
 Andrea Frankle,1,46.0
 Andrea Frigerio,1,34.0
 Andrea Grano,1,34.0
 Andrea Gómez,1,27.0
 Andrea Lattanzi,1,76.0
 Andrea Libman,1,15.0
 Andrea Martin,2,61.0
 Andrea Morris,1,7.0
 Andrea Noceti,1,28.0
 Andrea Osv??rt,1,60.0
 Andrea Pennacchi,1,54.0
 Andrea Riseborough,3,64.33333333333333
 Andrea Roncato,1,40.0
 Andrea Ros,2,48.0
 Andrea Roth,1,48.0
 Andrea Runge,1,47.0
 Andrea Stefancikova,1,48.0
 Andrea Tariang,1,80.0
 Andrea Virginia Lester,1,11.0
 Andrea de Alba,1,30.0
 Andreas Apergis,3,55.333333333333336
 Andreas Lust,1,52.0
 Andrene Ward-Hammond,2,57.0
 Andreu Lacondeguy,1,17.0
 Andrew Airlie,1,41.0
 Andrew Bachelor,1,63.0
 Andrew Bowen,1,36.0
 Andrew Bryniarski[,1,48.0
 Andrew Collins,1,51.0
 Andrew Crawford,1,65.0
 Andrew Creer,1,50.0
 Andrew Daly,2,53.5
 Andrew Diaz,1,56.0
 Andrew Dice Clay,1,75.0
 Andrew Divoff,1,39.0
 Andrew Ducote,1,27.0
 Andrew Duncan,1,60.0
 Andrew Flihan,1,55.0
 Andrew Gower,1,73.0
 Andrew Hawley,2,50.0
 Andrew Hefler,2,33.5
 Andrew Herr,1,54.0
 Andrew Jackson,1,24.0
 Andrew Keegan,1,48.0
 Andrew Kirkley,1,39.0
 Andrew Kishino,1,59.0
 Andrew Lawrence,2,38.5
 Andrew Lincoln,1,65.0
 Andrew Lua,1,15.0
 Andrew McCarthy,1,69.0
 Andrew McNee,2,60.0
 Andrew McPhee,1,74.0
 Andrew Rannells,3,55.333333333333336
 Andrew Richardson,1,9.0
 Andrew Robertt,1,67.0
 Andrew Scott,2,70.5
 Andrew Shim,1,67.0
 Andrew Shue,1,73.0
 Andrew Simpson,1,56.0
 Andrew Toth,1,12.0
 Andrew W. Walker,2,37.5
 Andrew Walker,1,48.0
 Andrew Watts,1,41.0
 Andrew Young,1,78.0
 Andrey Dementiev,1,59.0
 Andrey Fayt,1,75.0
 Andrey Gorlenko,1,50.0
 Andrey Mironov,1,75.0
 Andrey Smolyakov,1,44.0
 Andromeda Godfrey,1,45.0
 Andrzej Chyra,1,56.0
 Andrzej Kłak,1,41.0
 Andrzej Mellin,1,17.0
 Andrzej Seweryn,1,92.0
 André Dussollier,1,73.0
 André Gonçalves,1,29.0
 André Holland,2,72.5
 André Luiz Frambach,1,48.0
 André Wilms,1,39.0
 André the Giant,1,84.0
 Andrés Almeida,3,29.333333333333332
 Andrés Baida,1,69.0
 Andrés Couturier,1,31.0
 Andrés Gertrúdix,1,33.0
 Andrés Herrera,2,56.5
 Andrés Iniesta,1,27.0
 Andrés Parra,1,56.0
 Andrés Salas,1,18.0
 Andrés Sandoval,1,62.0
 Andrés Toro,1,28.0
 Andy Allo,1,79.0
 Andy Berman,1,79.0
 Andy Devine,2,1.5
 Andy Dick,2,40.5
 Andy Fischer-Price,1,52.0
 Andy Garcia,3,72.0
 Andy Hull,1,71.0
 Andy Lauer,1,10.0
 Andy Lawrence,1,62.0
 Andy Liang,1,21.0
 Andy Mackenzie,1,31.0
 Andy McPhee,1,75.0
 Andy Mientus,1,51.0
 Andy Milder,1,63.0
 Andy Nyman,1,78.0
 Andy Richter,3,45.666666666666664
 Andy Romano,1,66.0
 Andy Samberg,5,57.4
 Andy Serkis,1,53.0
 Andy Walken,1,56.0
 Aneesha Joshi,2,24.0
 Aneesha Shah,1,27.0
 Aneurin Barnard,2,56.0
 Anga Makubalo,1,20.0
 Angad Bedi,5,58.4
 Angad Dev Dogra,1,75.0
 Angad Singh Ranyal,1,13.0
 Angel Alkain,1,55.0
 Angel David,1,79.0
 Angel Lin,1,68.0
 Angel Locsin,2,31.5
 Angela Bassett,2,51.0
 Angela Bettis,1,62.0
 Angela Dierdorff Petro,1,68.0
 Angela Ekeleme,1,50.0
 Angela Griffin,1,63.0
 Angela Lansbury,1,52.0
 Angela Mao,1,81.0
 Angela Means,1,42.0
 Angela Plagmann,1,36.0
 Angela Trimbur,1,61.0
 Angela Woods,1,48.0
 Angelababy,1,57.0
 Angelic Gil Perez-Abraham,1,9.0
 Angelica Briones,1,15.0
 Angelica C. Ferro,1,50.0
 Angelica Panganiban,1,16.0
 Angelina Häntsch,1,48.0
 Angelina Idnani,1,51.0
 Angelina Jolie,2,62.5
 Angeline Quinto,1,49.0
 Angellie Saño,1,24.0
 Angelo Moore,1,10.0
 Angelo Rossitto,1,20.0
 Angga Yunanda,1,15.0
 Anggika Bolsterli,1,13.0
 Angie Everhart,1,10.0
 Angie Saba,1,54.0
 Angus Barnett,1,80.0
 Angus Macfadyen,1,15.0
 Angus Sampson,2,49.0
 Angus T. Jones,1,33.0
 Angélica Aragón,1,8.0
 Angélica Blandón,1,37.0
 Angélica Vale,1,63.0
 Ania Marson,1,67.0
 Anika Noni Rose,2,65.5
 Anil Charanjeett,1,71.0
 Anil Gawas,1,14.0
 Anil George,1,42.0
 Anil Kapoor,4,49.0
 Anil Mange,1,41.0
 Anil Nedumangad,1,62.0
 Anilú Pardo,1,24.0
 Anima Misa,1,54.0
 Anirban Bhattacharya,1,26.0
 Anirudh Pisharody,1,11.0
 Anirudh Tanwar,1,28.0
 Anisa Butt,1,42.0
 Anish Jethmalani,1,57.0
 Anita Campillo,1,18.0
 Anita Date,1,81.0
 Anita Devgan,1,22.0
 Anita Hara,1,30.0
 Anita Kravos,1,13.0
 Anita Louise,1,44.0
 Anita Moorjani,1,50.0
 Anita Pauls,1,44.0
 Anita Sokołowska,1,32.0
 Anjali,4,26.25
 Anjali Patil,2,30.0
 Anjan Srivastav,3,38.333333333333336
 Anjana Mumtaz,1,40.0
 Anjelica Huston,3,60.0
 Anjori Alagh,1,31.0
 Anju Kurian,1,54.0
 Anke Sun,1,59.0
 Ankita Lokhande,1,52.0
 Ann Coulter,1,27.0
 Ann Cusack,1,58.0
 Ann Doran,2,47.5
 Ann Dowd,2,64.0
 Ann Dusenberry,1,55.0
 Ann Eleonora Jørgensen,1,49.0
 Ann Harding,1,24.0
 Ann Kendrick,2,11.0
 Ann Pirvu,1,25.0
 Ann Sheetal,1,15.0
 Ann Sheethal,1,41.0
 Ann-Margret,4,49.0
 Anna Akana,2,50.5
 Anna Alarcón,1,83.0
 Anna Bjelkerud,1,37.0
 Anna Bullard,1,18.0
 Anna Camp,2,43.5
 Anna Carreiro,1,19.0
 Anna Castillo,1,65.0
 Anna Cathcart,2,45.5
 Anna Chancellor,1,63.0
 Anna Ciocchetti,1,45.0
 Anna Deavere Smith,1,66.0
 Anna Della Rosa,1,35.0
 Anna Drijver,1,80.0
 Anna Faris,2,48.0
 Anna Ferruzzo,1,54.0
 Anna Ferzetti,1,60.0
 Anna Fialová,1,32.0
 Anna Friel,1,44.0
 Anna Galvin,1,53.0
 Anna Gras,1,41.0
 Anna Gunn,2,46.0
 Anna Hopkins,1,31.0
 Anna Katarina,1,26.0
 Anna Kendrick,2,61.5
 Anna Koshmal,1,54.0
 Anna Lee,1,48.0
 Anna Levine,1,79.0
 Anna Luna,1,17.0
 Anna Madeley,1,44.0
 Anna Maria Barbany,1,88.0
 Anna Massey,1,74.0
 Anna Maxwell Martin,2,81.5
 Anna Paquin,6,70.83333333333333
 Anna Pniowsky,1,70.0
 Anna Popplewell,2,68.5
 Anna Prochniak,1,68.0
 Anna Quayle,1,69.0
 Anna Shaffer,2,50.0
 Anna Shields,1,26.0
 Anna Smołowik,1,39.0
 Anna Suk,1,60.0
 Anna Thalbach,1,6.0
 Anna Torv,2,57.5
 Anna Unterberger,1,48.0
 Anna Wilson Jones,1,27.0
 Anna Wilson-Jones,1,27.0
 Anna Ycobalzeta,1,88.0
 AnnaLynne McCord,1,61.0
 AnnaSophia Robb,1,59.0
 Annabel Seymour,1,60.0
 Annabel Wolfe,1,29.0
 Annabelle Attanasio,1,64.0
 Annabelle Belmondo,1,37.0
 Annabelle Gurwitch,1,56.0
 Annabelle Wallis,1,58.0
 Annabeth Gish,3,48.666666666666664
 Annalise Basso,2,62.0
 Annasophia Robb,1,62.0
 Anndi McAfee,1,51.0
 Anne Archer,4,41.5
 Anne Azoulay,2,53.0
 Anne Bancroft,3,69.0
 Anne Dudek,1,55.0
 Anne Dyson,1,84.0
 Anne Francis,1,79.0
 Anne Hathaway,3,55.0
 Anne Heche,3,54.333333333333336
 Anne Hesch,1,43.0
 Anne Lamott,1,83.0
 Anne Le Ny,2,40.0
 Anne Loiret,1,76.0
 Anne Schäfer,1,47.0
 Anne Scottlin,1,39.0
 Anne Sward,1,29.0
 Anne Waldman,1,75.0
 Anne Winters,2,32.5
 Anne-Carolyne Binette,1,38.0
 Anneliese Judge,1,74.0
 Annemarie Blanco,1,31.0
 Annette Bening,4,69.75
 Annette Crosbie,1,12.0
 Annette Funicello,1,50.0
 Annie Buckley,1,75.0
 Annie Clark,1,27.0
 Annie Jacob,1,45.0
 Annie McElwain,1,48.0
 Annie McEnroe,1,45.0
 Annie McKnight,1,68.0
 Annie Murphy,1,46.0
 Annie Parisse,1,45.0
 Annie Potts,1,84.0
 Annie Q.,1,65.0
 Annie Thurman,1,53.0
 Annie Wood,1,40.0
 Annu Kapoor,1,20.0
 Annup Sonii,1,29.0
 Anoop Menon,1,35.0
 Anoop Singh,1,9.0
 Anoop Soni,1,42.0
 Anousha Nowbakht,1,39.0
 Anshikaa Shrivastava,1,69.0
 Anshuman Jha,1,19.0
 Anson Bagley,1,9.0
 Anson Paul,1,32.0
 Antara Mali,1,60.0
" Anthony ""the Medical Medium"" William",1,50.0
 Anthony Anderson,3,67.66666666666667
 Anthony Bowling,1,76.0
 Anthony Brandon Wong,1,62.0
 Anthony Brunelli,1,75.0
 Anthony Burnett,1,66.0
 Anthony Carrigan,1,64.0
 Anthony Cozens,1,12.0
 Anthony Edwards,1,71.0
 Anthony Eisley,1,72.0
 Anthony Grant,1,35.0
 Anthony Heald,1,58.0
 Anthony Hopkins,2,52.0
 Anthony J. Mifsud,1,35.0
 Anthony Jackson,1,18.0
 Anthony James,1,64.0
 Anthony Jensen,2,20.0
 Anthony Johnson,1,38.0
 Anthony Kavanagh,1,20.0
 Anthony Kelly,1,17.0
 Anthony Kiedis,1,56.0
 Anthony LaPaglia,2,35.5
 Anthony Laciura,1,56.0
 Anthony Mackie,4,53.75
 Anthony Michael Hall,2,42.0
 Anthony Perkins,1,74.0
 Anthony Phelan,1,55.0
 Anthony Quayle,1,78.0
 Anthony Quinn,1,78.0
 Anthony Quintal,1,70.0
 Anthony Ulc,1,24.0
 Anthony Vaathiyaar,1,29.0
 Anthony Valentine,1,66.0
 Anthony Wong,1,38.0
 Anthony Zerbe,1,32.0
 Antje Traue,1,43.0
 Antoine Duléry,2,47.5
 Antoine Fuqua,1,24.0
 Antoine Gouy,1,80.0
 Antoine Rodriguez,1,21.0
 Antoinette Turk,1,39.0
 Anton Gillis-Adelman,1,51.0
 Anton Yelchin,5,54.4
 Antoni Porowski,1,57.0
 Antonia Gentry,1,72.0
 Antonia Malinova,1,50.0
 Antonia Prebble,1,38.0
 Antonia Ribero,1,71.0
 Antonio Banderas,2,57.5
 Antonio Carluccio,1,10.0
 Antonio Dechent,3,46.0
 Antonio Durán 'Morris',2,68.5
 Antonio Grassi,1,69.0
 Antonio Leyba,1,71.0
 Antonio Marziale,1,65.0
 Antonio Medellin,1,45.0
 Antonio Miano,1,22.0
 Antonio Ortiz,1,78.0
 Antonio Pennarella,1,10.0
 Antonio Resines,1,25.0
 Antonio Tabet,1,46.0
 Antonio Zavatteri,2,44.5
 Antonio de la Vega,1,31.0
 Antonique Smith,1,29.0
 Antony Carbone,1,60.0
 Antony Del Rio,1,34.0
 Antony Starr,1,52.0
 Antwon Tanner,1,72.0
 Anu Aggarwal,1,26.0
 Anuj Choudhry,2,39.5
 Anuj Sachdeva,1,24.0
 Anuja Sathe,1,61.0
 Anup Soni,1,31.0
 Anupam Bhattacharya,1,46.0
 Anupam Kher,27,39.74074074074074
 Anupama Chopra,1,18.0
 Anupama Parmeshwaran,1,24.0
 Anupriya Goenka,1,66.0
 Anuradha Patel,1,40.0
 Anurag Arora,2,70.0
 Anuschka Sawhney,1,69.0
 Anushka Manchanda,1,50.0
 Anushka Sharma,6,60.666666666666664
 Anushka Shetty,1,25.0
 Anusmiritu Sarkar,1,13.0
 Anwen O'Driscoll,1,54.0
 Anya Chalotra,1,76.0
 Anya O'Connor,1,62.0
 Anya Taylor-Joy,1,62.0
 Ao Zi Yi,1,31.0
 Aoi Morikawa,1,41.0
 Aoi Nakamura,1,18.0
 Aoi Yuki,2,50.5
 Aparajita Adhya,1,47.0
 Aparna Bajpai,1,20.0
 Aparshakti Khurana,2,39.5
 Apollonia Pratt,1,40.0
 Apoorva Agnihotri,1,55.0
 Apoorva Jha,1,46.0
 April Telek,1,41.0
 April Winchell,3,41.0
 Ara Mina,1,36.0
 Aradhana,1,19.0
 Arancha Martí,1,54.0
 Arantza Ruiz,2,18.0
 Arapata McKay,1,24.0
 Arata Iura,1,17.0
 Arawinda Kirana,1,10.0
 Arbaaz Khan,3,42.333333333333336
 Arcadia Kendall,1,24.0
 Arcelia Ramírez,2,57.5
 Archana Puran Singh,4,48.25
 Archie Cox,1,12.0
 Archie Panjabi,3,69.33333333333333
 Archie Twitchell,1,21.0
 Archie Yates,1,34.0
 Archit Deodhar,1,46.0
 Archit Krishna,1,46.0
 Ari Berman,1,78.0
 Ari Brickman,1,33.0
 Ari Cohen,1,63.0
 Ari Millen,1,36.0
 Ari Sihasale,1,9.0
 Aria Birch,1,57.0
 Aria Pandya,1,68.0
 Ariana Brown,1,49.0
 Ariana DeBose,1,56.0
 Ariana Guerra,1,41.0
 Ariana Richards,1,55.0
 Ariana Saavedra,1,69.0
 Ariane Labed,1,60.0
 Arianna Scott,1,17.0
 Ariel Levy,1,51.0
 Ariel Rivera,1,24.0
 Ariel Vaysman,1,75.0
 Ariel Winter,3,33.333333333333336
 Ariella Mastroianni,1,26.0
 Arielle Holmes,1,72.0
 Arielle Kebbel,1,51.0
 Arif Zakaria,1,46.0
 Arifin Putra,1,9.0
 Arinzé Kene,3,65.0
 Arisa Shida,1,77.0
 Arisara Wongchalee,1,38.0
 Aristarkh Venes,1,36.0
 Ariyan Johnson,1,70.0
 Ariyo Wahab,2,25.0
 Ariyon Bakare,1,81.0
 Arjan Bajwa,2,57.0
 Arjun Gupta,2,26.5
 Arjun Kapoor,2,50.0
 Arjun Mathur,3,28.0
 Arjun Rampal,4,61.25
 Arjun Sarja,1,28.0
 Arjuna Bhalla,1,30.0
 Arkie Reece,1,59.0
 Arleen Whelan,1,10.0
 Arlen Escarpeta,1,47.0
 Arlene Dahl,1,71.0
 Arlene Muchlach,1,36.0
 Arlinda Di Baio,1,41.0
 Arliss Howard,3,51.333333333333336
 Armaan Ralhan,1,55.0
 Arman Fanni,1,48.0
 Arman Kohli,1,44.0
 Armand Assante,2,43.0
 Armand Reyes,1,13.0
 Armando Briseno,1,76.0
 Armando Riesco,1,67.0
 Armando Valdez,1,9.0
 Armida Siguion-Reyna,1,30.0
 Armie Hammer,1,65.0
 Arnar Jónsson,1,33.0
 Arndís Hrönn Egilsdóttir,1,72.0
 Arno Greeff,1,72.0
 Arnold Pinnock,2,42.5
 Arnold Reyes,1,50.0
 Arnold Y. Kim,1,60.0
 Arron Villaflor,1,43.0
 Arsen Grigoryan,1,77.0
" Arsenio ""Sonny"" Trinidad",1,37.0
 Arsenio Hall,1,52.0
 Arsh Bajwa,1,31.0
 Arshad Warsi,4,40.75
 Arsher Ali,1,61.0
 Arswendi Bening Swara,1,16.0
 Art Adams,1,13.0
 Art Bonilla,1,76.0
 Art Carney,1,11.0
 Art Garfunkel,1,76.0
 Art LaFleur,1,28.0
 Art Malik,4,46.75
 Art Ortega,1,17.0
 Art Smith,1,11.0
 Artem Semakin,1,28.0
 Artemis Pebdani,2,53.0
 Arthana Vijayakumar,1,30.0
 Arthur Cartwright,1,35.0
 Arthur De Larroche,1,39.0
 Arthur Hill,1,59.0
 Arthur Holden,2,33.0
 Arthur Hughes,1,69.0
 Arthur Malet,2,70.5
 Arthur O'Connell,1,39.0
 Artie Ortega,1,17.0
 Artimus Pyle,1,57.0
 Artjom Gilz,1,18.0
 Arturo Barba,1,69.0
 Arturo Muselli,1,48.0
 Arty Froushan,1,73.0
 Aru Krishansh Verma,2,51.0
 Aruldoss,1,8.0
 Arun Aseng,1,28.0
 Arun Dravid,1,76.0
 Arun Hornekar,1,4.0
 Arun Joglekar,1,30.0
 Arun Vijay,1,41.0
 Aruna Irani,2,22.5
 Arunoday Singh,2,52.5
 Arush Nand,1,58.0
 Arvinder Bhatti,1,30.0
 Arya,1,13.0
 Arya Babbar,4,35.75
 Arya Saloka,1,14.0
 Aryan Simhadri,1,32.0
 Arón Piper,1,70.0
 Asa Butterfield,3,70.66666666666667
 Asako Kobayashi,1,55.0
 Asami Seto,3,65.66666666666667
 Asante Jones,1,43.0
 Ash Chandler,1,65.0
 Ash Lendzion,1,58.0
 Ash Stymest,1,34.0
 Asha Kenyeri Bermudez,1,74.0
 Asha Sachdev,1,36.0
 Ashanti,1,72.0
 Ashay Chitre,1,11.0
 Asheesh Kapur,1,22.0
 Ashely Johnson,1,62.0
 Asher Angel,1,64.0
 Ashish Bhatt,1,55.0
 Ashish Kakkad,1,66.0
 Ashish Shakya,1,13.0
 Ashish Verma,2,60.0
 Ashish Vidyarthi,1,7.0
 Ashish Warang,1,60.0
 Ashlee Brian,1,60.0
 Ashleigh Cummings,1,55.0
 Ashleigh Morghan,1,53.0
 Ashley Argota,1,19.0
 Ashley Benson,1,58.0
 Ashley Chin,2,17.5
 Ashley Eckstein,1,83.0
 Ashley Fink,1,41.0
 Ashley Greene,3,53.666666666666664
 Ashley Jackson,1,77.0
 Ashley Jensen,2,70.0
 Ashley Johnson,2,36.5
 Ashley Judd,4,54.0
 Ashley Klein,1,60.0
 Ashley Laracey,1,37.0
 Ashley Liao,1,41.0
 Ashley Moore,1,49.0
 Ashley Moret,1,39.0
 Ashley Park,2,66.5
 Ashley Peldon,1,26.0
 Ashley Rickards,2,44.0
 Ashley Rogan,1,21.0
 Ashley Scott,1,39.0
 Ashley Spillers,1,38.0
 Ashley Thomas,1,53.0
 Ashley Tisdale,2,81.5
 Ashley Walters,2,47.5
 Ashok Banthia,2,51.0
 Ashok Lokhande,1,69.0
 Ashok Saraf,1,6.0
 Ashok Verma,1,37.0
 Ashrita Shetty,1,18.0
 Ashton Holmes,2,47.5
 Ashton Kutcher,2,51.0
 Ashton Sanders,1,85.0
 Ashutosh Kaushik,1,34.0
 Ashutosh Rana,3,39.0
 Ashwanth Ashok Kumar,1,76.0
 Ashwath Bhatt,1,46.0
 Ashwin Dhar,1,21.0
 Asia Ortega,2,53.5
 Asia Ortega Leiva,1,14.0
 Asier Etxeandia,1,72.0
 Asif Ali,1,53.0
 Asif Basra,2,66.5
 Asim Chaudhry,1,64.0
 Asin,1,40.0
 Ask Mossberg Truelsen,1,72.0
 Aslı Bekiroğlu,1,44.0
 Asmaa Lazrak,1,46.0
 Asrani,10,51.8
 Asri Handayani,1,33.0
 Asri Welas,2,25.5
 Assa Sylla,1,43.0
 Assi Levy,1,42.0
 Assumpta Serna,1,62.0
 Assun Planas,1,88.0
 Assunta de Rossi,1,6.0
 Astrid Whettnall,1,43.0
 Asuka Tanii,1,41.0
 Aswathy Lal,1,21.0
 Atharva Karve,1,43.0
 Atharva Upasni,1,46.0
 Atheena Frizzell,1,78.0
 Athip Nana,1,12.0
 Athipich Chutiwatkajornchai,1,40.0
 Athiya Shetty,1,41.0
 Athulya Chandra,1,46.0
 Atikah Suhaime,1,15.0
 Atiqa Odho,1,35.0
 Atkins Estimond,1,67.0
 Ato Essandoh,1,84.0
 Atsuko Tanaka,2,80.0
 Atsushi Abe,1,45.0
 Atsushi Arai,1,11.0
 Atticus Mitchell,1,63.0
 Atul Kale,1,71.0
 Atul Kulakarni,1,21.0
 Atul Kulkarni,1,17.0
 Atul Srivastava,1,51.0
 Au Cheuk-Man,1,10.0
 Aubree Miller,1,50.0
 Aubrey Dollar,1,74.0
 Aubrey Plaza,1,39.0
 Aude-Laurence Clermont Biver,1,76.0
 Audrey,1,11.0
 Audrey Grace Marshall,1,46.0
 Audrey Landers,1,61.0
 Audrey Tautou,2,50.5
 Audrey Wasilewski,2,33.5
 Audrie Neenan,1,77.0
 Audrina Patridge,2,43.5
 Audu Paden,3,53.333333333333336
 August Issac Carter,1,72.0
 August Schellenberg,3,61.333333333333336
 Augustin Valery,1,52.0
 Augustine Frizzell,1,78.0
 Augusto Aguilera,1,68.0
 Augusto Madeira,2,56.5
 Aura Cristina Geithener,1,10.0
 Aura Garrido,2,67.0
 Aurelie Claudel,1,53.0
 Aurora Burghart,1,54.0
 Aurora Gil,1,45.0
 Aurora Heimbach,1,19.0
 Aurora Perrineau,1,47.0
 Aurore Clément,1,33.0
 Aurélie Moeremans,1,14.0
 Aurélie Thépaut,1,60.0
 Aurélien Recoing,1,76.0
 Aurélien Wiik,1,62.0
 Austin Butler,1,52.0
 Austin Crute,1,66.0
 Austin Fryberger,1,56.0
 Austin Hébert,1,86.0
 Austin Lysy,1,75.0
 Austin McKenzie,1,42.0
 Austin Nichols,1,69.0
 Austin North,1,76.0
 Austin Pendleton,1,67.0
 Austin Ramsey,1,15.0
 Austin Stowell,1,41.0
 Austin Swift,2,35.5
 Ava Acres,1,48.0
 Ava Briglia,1,72.0
 Ava Hughes,1,9.0
 Avan Jogia,3,49.666666666666664
 Avery Brooks,1,81.0
 Avi Nash,1,62.0
 Avika Gor,1,17.0
 Avinash Tiwary,1,65.0
 Aviva Baumann,1,79.0
 Avraham Aviv Alush,1,77.0
 Avrinder Kaur,1,30.0
 Avtar Gill,2,27.0
 Avu-chan,1,79.0
 Awkwafina,1,69.0
 Awra Briguela,1,6.0
 Axel Arenas,1,45.0
 Axel Muñiz,1,42.0
 Axelle Laffont,1,37.0
 Aya Cash,2,53.5
 Aya Suzaki,1,81.0
 Ayahi Takagaki,1,40.0
 Ayaka Asai,1,61.0
 Ayaka Suwa,1,45.0
 Ayane Sakura,2,69.0
 Ayaz Khan,1,25.0
 Ayaz Samoo,1,15.0
 Aybike Turan,1,25.0
 Ayelet Zurer,1,68.0
 Ayesha Dharker,1,16.0
 Ayesha Jhulka,1,46.0
 Ayesha Khan,1,46.0
 Ayesha Raza Mishra,1,59.0
 Ayesha Takia,1,46.0
 Ayisha Issa,1,51.0
 Aylin Tezel,1,60.0
 Aysha Shahaltough,1,72.0
 Aytaç Uşun,1,22.0
 Ayu Azhari,1,30.0
 Ayu Laksmi,1,23.0
 Ayub Khan,2,60.0
 Ayuko Babu,1,14.0
 Ayumu Mochizuki,2,27.5
 Ayumu Murase,1,79.0
 Ayushita,1,18.0
 Ayushmaan Saxena,1,13.0
 Ayushmann Khurrana,1,51.0
 Ayça Ayşin Turan,1,16.0
 Ayça Damgacı,1,41.0
 Aza Declercq,1,48.0
 Azhy Robertson,1,86.0
 Aziz Ansari,1,64.0
 Aziz Dyab,1,83.0
 Azizah Hanum,1,14.0
 Azura Skye,2,50.0
 Azusa Babazono,3,36.666666666666664
 Azzurra Iacone,1,68.0
 Aïssa Maïga,1,78.0
 B.D. Wong,1,56.0
 B.J. Novak,3,64.0
 B.J. Ward,1,79.0
 B.K. Tiwari,1,8.0
 B.N. Sharma,2,19.0
 BD Wong,2,62.5
 BELLE BENNETT,1,43.0
 BIn Gu,1,47.0
 BJ Verot,1,35.0
 BN Sharma,1,22.0
 Baba Brahmbhatt,1,19.0
 Babak Karimi,1,89.0
 Babatunde Aiyegbusi,1,45.0
 Babetida Sadjo,1,74.0
 Babou Ceesay,1,59.0
 Babou Cham,1,28.0
 Babyjohn Choi,1,69.0
 Bada Oh Deniz,1,11.0
 Bade İşçil,2,73.0
 Badja Djola,1,19.0
 Badjie Mortiz,2,13.0
 Badriyyah Tulbah,1,10.0
 Bae Doona,1,58.0
 Bae Hae-sun,1,84.0
 Bae Jong-ok,2,50.5
 Bae Seong-woo,2,57.0
 Baek Hyun-joo,2,29.0
 Baek Sung-hyun,1,47.0
 Bagavathi Perumal,2,57.0
 Bahar Şahin,2,27.5
 Bahni Turpin,1,74.0
 Bai Lang,1,24.0
 Bai Ling,3,36.333333333333336
 Bailee Madison,1,57.0
 Bailey Anne Borders,1,30.0
 Bailey Gambertoglio,2,12.5
 Bailey Noble,1,55.0
 Baim Wong,1,15.0
