title,director,cast,score,Number_MoviesShows_dir,dir_average_score,Number_MoviesShows_cast,cast_average_score
My Little Pony: Twinkle Wish Adventure,,,15.0,,,,
Astronaut,,,38.0,,,,
Love & Mercy,,,77.0,,,,
Ice Age: A Mammoth Christmas,,,62.0,,,,
Holly Hobbie,,,31.0,,,,
The Tomorrow Man,,,54.0,,,,
Stand My Heroes: Piece of Truth,,,18.0,,,,
The Biggest Little Farm,,,79.0,,,,
After School Dice Club,,,21.0,,,,
Kemono Michi: Rise Up,,,31.0,,,,
Meeting Gorbachev,,,73.0,,,,
Toni Morrison: The Pieces I Am,,,83.0,,,,
Little Woods,,,69.0,,,,
Scotch: A Golden Dream,,,26.0,,,,
Ride,,,33.0,,,,
The Ripper,,,66.0,,,,
OutDaughtered,,,25.0,,,,
Love & Hip Hop Hollywood,,,29.0,,,,
Single Parents,,,73.0,,,,
Empire,,,71.0,,,,
Crypto,,,44.0,,,,
Elementary,,,81.0,,,,
Murder in the Bayou,,,16.0,,,,
Nitro Circus: The Movie,,,50.0,,,,
Curious George: Royal Monkey,,,23.0,,,,
Hotel Mumbai,,,74.0,,,,
Matriarch,,,39.0,,,,
Untouchable,,,63.0,,,,
Playing It Cool,,,45.0,,,,
GameFace,,,43.0,,,,
The Son,,,67.0,,,,
Mapplethorpe,,,51.0,,,,
The Amazing Johnathan Documentary,,,60.0,,,,
Dogman,,,75.0,,,,
AWOL,,,45.0,,,,
Cop Craft,,,32.0,,,,
Fosse/Verdon,,,71.0,,,,
Plus One,,,72.0,,,,
The Ones Within,,,22.0,,,,
"Demon Lord, Retry!",,,46.0,,,,
The Hunchback of Notre Dame,,,65.0,,,,
After Darkness,,,15.0,,,,
I Trapped the Devil,,,54.0,,,,
Light as a Feather,,,64.0,,,,
The Field Guide to Evil,,,45.0,,,,
Blue Bloods,,,77.0,,,,
Apollo 11,,,87.0,,,,
Clique,,,60.0,,,,
Harlots,,,74.0,,,,
The Venture Bros.,,,87.0,,,,
The Brink,,,68.0,,,,
The Man Who Killed Hitler and Then the Bigfoot,,,57.0,,,,
Stargate SG-1,,,79.0,,,,
Diane,,,75.0,,,,
Lords of Chaos,,,60.0,,,,
Out of Blue,,,47.0,,,,
The Bravest Knight,,,32.0,,,,
Das Boot,,,72.0,,,,
Ask Dr. Ruth,,,79.0,,,,
Broad City,,,84.0,,,,
Ben Is Back,,,70.0,,,,
DriverX,,,33.0,,,,
RobiHachi,,,19.0,,,,
Afterlost,,,17.0,,,,
Fairy gone,,,26.0,,,,
Welcome to Mercy,,,60.0,,,,
Voltron: Defender of the Universe,,,59.0,,,,
The Sisters Brothers,,,73.0,,,,
Pledge,,,55.0,,,,
Law of the Lawless,,,10.0,,,,
She-Ra: Princess of Power,,,55.0,,,,
Monsters and Men,,,68.0,,,,
Miami Vice,,,74.0,,,,
The Last Race,,,68.0,,,,
Divide and Conquer: The Story of Roger Ailes,,,74.0,,,,
Shoplifters,,,87.0,,,,
